S.No.,DISTRICT,Column3,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,Total,Monsoon,Non-Monsoon
1,AGRA,,16.5,10.3,8.1,4.9,11.5,52.5,232.3,272,136,26.9,4,4,779,692.8,86.2
2,ALIGARH,,16.5,14.2,10.1,5.1,14.7,41.3,207.1,237.3,138,36.3,3.6,6.4,730.6,623.7,106.9
3,AMBEDKAR NAGAR,,16.6,13.9,9,6.9,19.6,101.7,317,279.3,208,44.9,3.1,5.9,1025.9,906,119.9
4,AURAIYA,,15.5,17.4,8.2,4,11.2,57.2,235.7,276.9,155.8,46.7,3.3,5.4,837.3,725.6,111.7
5,AYODHYA,,17.7,13.1,9,4.9,15.9,94.8,308.9,277,179.7,40.4,2.8,6.7,970.9,860.4,110.5
6,AZAMGARH,,15.7,13.2,8.8,5.7,15.1,97.6,334.1,294,220.9,46.1,5.6,4.9,1061.7,946.6,115.1
7,BAGHPAT,,19.5,17.2,13.1,6.2,13.4,41.9,200.2,209.4,99.6,18.9,3.8,5.8,649,551.1,97.9
8,BAHRAICH,,24.3,15.1,12.1,7.9,27.6,145,337.4,286,216.2,62.9,1.7,7.5,1143.7,984.6,159.1
9,BALLIA,,15.1,9.6,6.9,4.5,18.5,118.2,315.4,280.5,180.7,43.8,4.1,2.2,999.5,894.8,104.7
10,BALRAMPUR,,19.7,15.2,9.5,9.6,40.9,145.9,389.9,332.5,208.5,71.7,1.2,8.5,1253.1,1076.8,176.3
11,BANDA,,18.6,12.6,7.5,3.7,7.3,80.5,286.8,342.6,160.7,37.5,7.5,7.3,972.6,870.6,102
12,BARABANKI,,19.5,14.1,7.7,5,14.2,96,324.4,286.7,223.7,61.3,1.2,6.7,1060.5,930.8,129.7
13,BAREILLY,,23.9,19.5,12.8,5.9,17.2,91.8,319,324.6,169.4,58.9,1.8,5.7,1050.5,904.8,145.7
14,BASTI,,16.8,13.2,11.1,7.2,24.6,130,348.9,291.8,216.4,52.4,1.5,7.2,1121.1,987.1,134
15,BIJNOR,,33.2,27,20,7.8,17.8,84.5,348.7,329,167.7,42,4.4,11.4,1093.5,929.9,163.6
16,BADAUN,,17.6,16.7,11.7,3.9,13.6,63,270.3,280.5,140.4,53.4,2.3,5.3,878.7,754.2,124.5
17,BULANDSHAHR,,19.6,15.1,12.4,5,11.4,47.5,236.5,247.7,143.5,36.6,3.8,5.4,784.5,675.2,109.3
18,CHANDAULI,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,CHITRAKOOT,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,DEORIA,,15.7,19.2,10.5,11.4,29.5,132.4,324.7,311.2,205.3,63.4,3.6,5.2,1132.1,973.6,158.5
21,ETAH,,16.7,11.7,11,4.3,12.4,50,217.4,254.6,132.3,40.2,2.2,4.9,757.7,654.3,103.4
22,ETAWAH,,15.5,13.2,9.5,4.4,11,60.7,235.2,301.7,157.5,40.3,3.1,5.4,857.5,755.1,102.4
23,FARRUKHABAD,,17.8,11.3,8.8,4.5,13.5,69.5,261.1,300.9,146.2,50,2.5,3.2,889.3,777.7,111.6
24,FATEHPUR,,22.6,14.9,9.3,4.4,6.2,72.1,279.3,318.8,183.3,43.5,3.5,8.2,966.1,853.5,112.6
25,FIROZABAD,,15.2,11.4,6.8,4.6,9.8,58.1,238,250.6,146.1,33.1,2.7,3.9,780.3,692.8,87.5
26,"GAUTAM
NAGAR",BUDDHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,GHAZIABAD,,20.5,20.6,17.5,5.8,13,43.8,221.6,234.7,127.6,33.9,4.3,7,750.3,627.7,122.6
28,GHAZIPUR,,18.7,14.2,6.7,4.4,14.3,114.5,288.2,310.8,214.7,54.2,8.8,3.2,1052.7,928.2,124.5
29,GONDA,,18.5,10.5,8.6,7,22,136.7,346.2,307.4,239.5,60.7,1.3,8.4,1166.8,1029.8,137
30,GORAKHPUR,,19.2,12.8,12.4,13.3,34.6,156.6,352.7,337.8,232,75.7,4.7,7.5,1259.3,1079.1,180.2
31,HAMIRPUR,,16.8,12.7,5.4,2.2,6,58.5,244.5,294.1,146.8,28.4,4.6,5.6,825.6,743.9,81.7
32,HARDOI,,20.4,13.3,9.5,5.7,15.5,82.6,279.8,270,172.5,57.9,2,6,935.2,804.9,130.3
33,JALAUN,,16,12.2,6.2,2.5,8.4,62.7,248,316.6,155.7,42.2,3.8,5.3,879.6,783,96.6
34,JAUNPUR,,16.9,13.7,7.5,4.3,11.3,91,325.1,268,220.2,34.9,7.2,5.4,1005.5,904.3,101.2
35,JHANSI,,15.3,12.5,6.5,3.3,7.2,88.1,283.9,303.7,171.3,34,6.2,6.1,938.1,847,91.1
36,JYOTIBA PHULE NAGAR,,24.7,20.5,15,5.6,13.8,60.5,301.2,295.5,157.4,45.9,4.3,7.7,952.1,814.6,137.5
37,KANNAUJ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,KANPUR DEHAT,,15.7,14.3,7.1,4.8,7.4,76.3,228.5,271.7,150.3,39,2.5,5.7,823.3,726.8,96.5
39,KANPUR NAGAR,,19,12.9,6.9,2.7,7.5,58.8,241.1,283.7,157.5,48,2,6.4,846.5,741.1,105.4
40,KANSIRAM NAGAR,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,KAUSHAMBI,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,KHERI,,23.7,16.4,13.1,7.3,29.4,132.2,318.9,310.1,198.8,65.6,1.9,7.3,1124.7,960,164.7
43,KUSHINAGAR,,18.6,12.7,11.1,15.8,41.9,173.2,372.4,354.6,238.5,74.6,3.3,7,1323.7,1138.7,185
44,LALITPUR,,24.3,12.1,7.8,3.3,6.7,93,346,341.7,173.3,31.2,14.1,8.6,1062.1,954,108.1
45,LUCKNOW,,20.3,13.3,7.9,5,12.4,81.7,276.2,278.8,175.9,47.9,1.4,6.2,927,812.6,114.4
46,MAHAMAYA NAGAR,,13.3,11.9,8.8,3.7,10.2,46.8,212.4,249.8,132.1,25.7,2.1,4.5,721.3,641.1,80.2
47,MAHARAJGANJ,,20.1,14.2,15.1,17.2,42.6,180.7,431.7,371,251.6,85.2,2.2,5.3,1436.9,1235,201.9
48,MAHOBA,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,MAINPURI,,13.6,10.2,8.7,4,10.7,59.1,218,253.2,140.5,35.5,3.1,5.9,762.5,670.8,91.7
50,MATHURA,,10.8,9.3,7.3,2.7,7.5,30.2,188.3,215.7,99.8,18.9,2.4,2.7,595.6,534,61.6
51,MAU,,18.5,11.2,9.3,5.3,19,117.3,336.6,312.5,226.4,50.2,6.4,4.6,1117.3,992.8,124.5
52,MEERUT,,24.1,20.6,15.9,9.3,14.2,61.6,271.8,279.8,153.2,39.3,4.5,10.4,904.7,766.4,138.3
53,MIRZAPUR,,18.3,13.5,7.1,2.5,8,83.2,268.6,295.5,192.1,33.7,8.4,2.6,933.5,839.4,94.1
54,MORADABAD,,23,20.2,13.6,6.3,15.9,79.7,306.7,302.8,158,47.7,3.4,8.9,986.2,847.2,139
55,MUZAFFARNAGAR,,25,20.8,13.9,5.3,11.5,54.2,257.4,257.4,142.6,31.2,4.5,9.9,833.7,711.6,122.1
56,PILIBHIT,,25,18,13.6,5.2,20,116,333.8,334.8,186.9,65.6,3.6,7,1129.5,971.5,158
57,PRATAPGARH,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,PRAYAGRAJ,,19.8,14.4,8.2,3.6,6.7,80.1,269.1,303.1,170.8,31.4,7.9,4.8,919.9,823.1,96.8
59,RAE BARELI,,18.9,13.1,7.6,3.5,7.5,69.3,287.5,292.6,179.7,60,1.4,8,949.1,829.1,120
60,RAMPUR,,22,21.8,19.1,8.7,25.3,116.4,364.2,330.1,154.4,39,4.9,11.2,1117.1,965.1,152
61,SAHARANPUR,,31,26.2,20.3,5.5,15.6,79.9,268.9,282.1,133.1,32,5.4,12.2,912.2,764,148.2
62,SANT KABIR NAGAR,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,"SANT RAVI DAS
NAGAR(BHADOHI)",,19.3,14.9,9.6,5.7,9.8,86.2,299.7,301.4,187.3,37,9.3,3.2,983.4,874.6,108.8
64,SHAHJAHANPUR,,19,15.7,12,5.1,18.6,92.3,294.2,306.9,158.1,63,2.6,6.5,994,851.5,142.5
65,SHRAWASTI,,24.3,15.1,12.1,7.9,27.6,145,337.4,286,216.2,62.9,1.7,7.5,1143.7,984.6,159.1
66,SIDDHARTH NAGAR,,17.7,13.8,11.5,9.8,30.6,150.7,391.8,316.9,205.1,67.6,1,7.3,1223.8,1064.5,159.3
67,SITAPUR,,21.3,10.9,12.3,5.6,15.1,101.9,270.5,283.4,190.3,62.3,2,5.9,981.5,846.1,135.4
68,SONBHADRA,,23.4,19.3,13,5.8,13.2,121.9,308.2,318.1,205.1,40.2,8.7,5.9,1082.8,953.3,129.5
69,SULTANPUR,,16,12.7,8.1,5.4,13.9,81.1,324.6,298.1,198.7,41.2,2.6,6.2,1008.6,902.5,106.1
70,UNNAO,,16.5,15.4,7,2.8,10.6,75.4,264.5,289.1,176.8,51.1,1.7,7.1,918,805.8,112.2
71,VARANASI,,17.8,13.8,9,5.2,10.5,81.9,291.4,263.6,204.9,33.4,9.6,4,945.1,841.8,103.3
